household_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,collection_date_1a,collection_time_1a,collector,femalea_unfed,femalea_bloodfed,femalea_hg,femalea_gravid,femalea_ud,femalea_total,femalea_total_archived,male_anopheles,femalec_unfed,femalec_bloodfed,femalec_hg,femalec_gravid,femalec_ud,femalec_total,femalec_archive,male_culicine,notes_1a,form_enterer,date_entered_1a,formchecker,date_checked_1a,ento_form_1a_immediately_processed_summary_complete
K01,august_2022_arm_1,ento_form_1a_immediately_processed_summary,2,2022-08-22,,7,0,0,0,0,0,0,,0,3,1,6,5,0,15,,19,,4,2022-08-23,1,2022-08-23,2
K01,september_2022_arm_1,ento_form_1a_immediately_processed_summary,1,2022-09-19,,5,0,0,0,0,0,0,,0,3,1,2,0,0,6,,4,,3,2022-09-23,1,2022-09-23,2
K01,september_2022_arm_1,ento_form_1a_immediately_processed_summary,2,2022-09-12,,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,,6,,3,2022-09-23,1,2022-09-23,2
K01,october_2022_arm_1,ento_form_1a_immediately_processed_summary,1,2022-10-17,,8,0,0,0,0,0,0,,0,1,1,1,0,0,3,,0,,4,2022-10-19,1,2022-10-19,2
K01,october_2022_arm_1,ento_form_1a_immediately_processed_summary,2,2022-10-24,,8,0,0,0,0,0,0,,0,0,1,0,4,0,5,,2,,10,2022-10-24,1,2022-11-02,2
K01,november_2022_arm_1,ento_form_1a_immediately_processed_summary,1,2022-11-14,,4,0,0,0,0,0,0,,0,11,1,1,12,0,25,,34,,10,2022-11-15,1,2022-11-15,2
K01,november_2022_arm_1,ento_form_1a_immediately_processed_summary,2,2022-11-21,,4,0,0,0,0,0,0,,0,12,1,2,11,0,26,,85,,12,2022-11-22,1,2022-11-22,2
K01,december_2022_arm_1,ento_form_1a_immediately_processed_summary,1,2022-12-19,,9,0,0,0,0,0,0,,0,2,3,1,3,0,9,,16,,10,2022-12-19,1,2022-12-19,2
K02,january_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-01-20,,5,0,0,0,0,0,0,,0,6,0,8,4,0,18,0,109,,3,2020-03-30,1,2020-03-30,2
K02,january_2020_arm_1,ento_form_1a_immediately_processed_summary,2,2020-01-27,,5,0,0,1,0,0,1,,0,4,0,23,5,0,32,,42,,3,2020-04-08,1,2020-04-08,2
K02,february_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-02-03,,3,0,0,1,0,0,1,,0,2,0,9,2,0,13,,5,,3,2020-04-10,1,2020-04-10,1
K02,february_2020_arm_1,ento_form_1a_immediately_processed_summary,2,2020-02-17,,3,0,0,0,0,0,0,,0,5,0,31,2,0,38,,29,,3,2020-04-14,1,2020-04-14,1
K02,february_2020_arm_1,ento_form_1a_immediately_processed_summary,3,2020-02-24,,3,0,0,0,0,0,0,,0,13,1,37,4,3,58,,94,,3,2020-04-14,1,2020-04-14,1
K02,march_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-03-02,,7,0,0,0,0,0,0,,0,3,0,13,5,0,21,,37,,3,2020-04-28,1,2020-04-28,1
K02,march_2020_arm_1,ento_form_1a_immediately_processed_summary,2,2020-03-16,,7,0,0,0,0,0,0,,0,1,12,7,7,0,27,,48,,3,2020-04-28,1,2020-04-28,1
K02,may_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-05-29,,5,1,0,1,1,0,3,,0,51,71,171,73,0,366,,301,,3,2020-06-04,1,2020-06-04,1
K02,june_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-06-15,,5,0,1,0,1,0,2,,0,37,14,152,82,0,285,,179,,3,2020-06-16,1,2020-06-16,1
K02,june_2020_arm_1,ento_form_1a_immediately_processed_summary,2,2020-06-22,,5,0,0,2,2,0,4,,2,25,37,135,67,0,264,,200,,3,2020-06-30,1,2020-06-30,1
K02,july_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-07-06,,8,0,0,1,0,0,1,,0,10,11,10,11,1,43,,67,,3,2020-07-08,1,2020-07-08,1
K02,july_2020_arm_1,ento_form_1a_immediately_processed_summary,2,2020-07-20,,8,0,0,0,1,0,1,,0,7,11,28,4,0,50,,55,,3,2020-07-22,1,2020-07-22,1
K02,july_2020_arm_1,ento_form_1a_immediately_processed_summary,3,2020-07-27,,8,0,0,0,0,0,0,,1,5,13,14,9,1,42,,33,,3,2020-08-04,1,2020-08-04,1
K02,august_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-08-17,,9,0,0,0,0,0,0,,0,1,4,5,3,0,13,,10,,3,2020-08-28,1,2020-08-28,2
K02,august_2020_arm_1,ento_form_1a_immediately_processed_summary,2,2020-08-24,,9,0,0,0,1,0,1,,0,0,2,5,2,0,9,,12,,3,2020-08-28,1,2020-08-28,2
K02,august_2020_arm_1,ento_form_1a_immediately_processed_summary,3,2020-08-31,,2,0,1,0,0,0,1,,0,0,13,3,9,0,25,,12,,3,2020-09-02,1,2020-09-02,2
K02,september_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-09-14,,4,0,1,0,1,0,2,,0,4,13,10,18,0,45,,17,,3,2020-09-22,1,2020-09-22,2
K02,september_2020_arm_1,ento_form_1a_immediately_processed_summary,2,2020-09-21,,8,0,0,0,0,0,0,,0,0,3,11,1,0,15,,6,,5,2020-09-23,1,2020-09-23,2
K02,october_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-10-05,,5,0,4,0,0,0,4,,0,17,91,58,29,0,195,,127,,3,2020-10-06,1,2020-10-06,2
K02,october_2020_arm_1,ento_form_1a_immediately_processed_summary,2,2020-10-19,,3,0,1,1,0,0,2,,0,14,0,3,4,2,23,,1114,,4,2020-10-21,1,2020-10-21,2
K02,october_2020_arm_1,ento_form_1a_immediately_processed_summary,3,2020-10-26,,5,0,0,0,0,0,0,,0,89,55,117,127,0,388,,396,,5,2020-10-27,1,2020-10-27,2
K02,november_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-11-02,,7,0,1,2,0,0,3,,0,28,47,76,57,0,208,,202,,4,2020-11-03,1,2020-11-03,2
K02,november_2020_arm_1,ento_form_1a_immediately_processed_summary,2,2020-11-16,,7,0,0,1,0,0,1,,1,13,55,78,56,0,202,,162,,3,2020-11-16,1,2020-11-16,2
K02,november_2020_arm_1,ento_form_1a_immediately_processed_summary,3,2020-11-23,,7,0,3,0,0,0,3,,0,16,25,37,38,0,116,,138,,5,2020-11-25,1,2020-11-25,2
K02,november_2020_arm_1,ento_form_1a_immediately_processed_summary,4,2020-11-30,,6,0,1,1,1,0,3,,0,9,10,39,13,0,71,,97,,3,2020-11-30,1,2020-11-30,2
K02,december_2020_arm_1,ento_form_1a_immediately_processed_summary,1,2020-12-14,,6,0,0,0,0,0,0,,0,10,27,33,30,0,100,,154,,4,2020-12-14,1,2020-12-14,2
K02,january_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-01-04,,7,0,1,1,0,0,2,,0,1,13,5,6,0,25,,52,,3,2021-01-07,1,2021-01-07,2
K02,january_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-01-18,,2,1,0,0,1,0,2,,0,1,4,4,10,0,19,,17,,3,2021-02-01,1,2021-02-01,2
K02,january_2021_arm_1,ento_form_1a_immediately_processed_summary,3,2021-01-25,,2,0,0,0,0,0,0,,0,0,1,0,0,0,1,,5,,3,2021-02-01,1,2021-02-01,2
K02,feburary_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-02-15,,8,1,1,0,0,0,2,,0,1,0,0,1,0,2,,6,,4,2021-02-23,1,2021-02-23,2
K02,feburary_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-02-22,,8,0,0,0,1,0,1,,1,0,0,1,0,0,1,,1,,4,2021-02-23,1,2021-02-23,2
K02,march_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-03-15,,3,0,0,0,0,0,0,,2,2,0,3,2,0,7,,1,,3,2021-03-28,1,2021-03-28,2
K02,march_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-03-22,,3,0,1,0,0,0,1,,1,0,0,0,0,0,0,,1,,3,2021-03-28,1,2021-03-28,2
K02,march_2021_arm_1,ento_form_1a_immediately_processed_summary,3,2021-03-29,,7,0,3,0,2,0,5,,1,0,0,1,0,0,1,,3,,3,2021-03-31,1,2021-03-31,2
K02,march_2021_arm_1,ento_form_1a_immediately_processed_summary,4,2021-03-29,,7,0,1,0,2,0,3,,1,2,0,0,0,0,2,,0,,3,2021-03-31,1,2021-03-31,2
K02,april_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-04-26,,9,0,1,0,0,0,1,,0,1,1,1,1,0,4,,3,,5,2021-04-28,1,2021-04-28,2
K02,may_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-05-17,,7,10,8,0,13,0,31,,5,6,18,32,24,0,80,,161,,3,2021-09-03,1,2021-09-03,2
K02,may_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-05-24,,6,0,9,0,2,0,11,,2,28,66,42,44,0,180,,89,,3,2021-09-03,1,2021-09-03,2
K02,june_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-06-14,,7,1,3,0,1,0,5,,1,9,35,42,16,0,102,,37,,4,2021-07-01,1,2021-07-01,2
K02,june_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-06-21,,7,0,3,1,0,0,4,,0,8,33,5,21,0,67,,33,,6,2021-07-02,1,2021-07-02,2
K02,june_2021_arm_1,ento_form_1a_immediately_processed_summary,3,2021-06-28,,7,0,1,4,1,0,6,,1,7,23,72,39,0,141,,80,,6,2021-07-05,1,2021-07-05,2
K02,july_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-07-19,,2,0,0,0,0,0,0,,0,1,5,21,6,0,33,,29,,6,2021-07-22,1,2021-07-22,2
K02,july_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-07-26,,2,0,0,0,2,0,2,,1,0,13,4,7,0,24,,19,,6,2021-07-29,1,2021-07-29,2
K02,august_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-08-16,,4,0,0,0,0,0,0,,0,2,1,4,2,0,9,,19,,6,2021-08-19,1,2021-08-19,2
K02,august_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-08-23,,5,0,0,0,0,0,0,,0,0,3,1,3,0,7,,4,,6,2021-08-31,1,2021-08-31,2
K02,august_2021_arm_1,ento_form_1a_immediately_processed_summary,3,2021-08-30,,5,0,0,0,0,0,0,,0,4,6,11,2,0,23,,44,,6,2021-08-31,1,2021-08-31,2
K02,september_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-09-20,,10,0,0,0,0,0,0,,0,24,10,43,11,0,88,,168,,3,2021-09-27,1,2021-09-27,2
K02,september_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-09-27,,10,0,0,0,0,0,0,,0,15,5,7,6,0,33,,60,,3,2021-09-27,1,2021-09-27,2
K02,october_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-10-18,,2,0,0,0,0,0,0,,0,56,57,17,29,0,159,,176,,3,2021-10-25,1,2021-10-25,2
K02,october_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-10-25,,3,0,0,0,0,0,0,,0,92,60,6,29,0,187,,345,,3,2021-10-25,1,2021-10-25,2
K02,november_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-11-22,,9,0,0,0,0,0,0,,0,6,20,3,8,0,37,,26,,3,2021-11-22,1,2021-11-22,2
K02,november_2021_arm_1,ento_form_1a_immediately_processed_summary,2,2021-11-15,,9,0,0,0,0,0,0,,0,32,0,12,10,2,56,,59,,3,2021-11-22,1,2021-11-22,2
K02,december_2021_arm_1,ento_form_1a_immediately_processed_summary,1,2021-12-20,,9,0,0,0,0,0,0,,0,3,5,2,6,0,16,,17,,3,2021-12-20,1,2021-12-20,2
K02,january_2022_arm_1,ento_form_1a_immediately_processed_summary,1,2022-01-24,,7,0,0,0,0,0,0,,0,0,0,12,4,0,16,,28,,3,2022-01-24,1,2022-01-24,2
K02,january_2022_arm_1,ento_form_1a_immediately_processed_summary,2,2022-01-17,,7,0,0,0,0,0,0,,0,6,5,11,11,1,34,,10,,3,2022-01-24,1,2022-01-24,2
K02,february_2022_arm_1,ento_form_1a_immediately_processed_summary,1,2022-02-14,,3,0,0,0,0,0,0,,0,0,0,1,1,0,2,,9,,3,2022-02-16,1,2022-02-16,2
K02,february_2022_arm_1,ento_form_1a_immediately_processed_summary,2,2022-02-21,,8,0,0,0,0,0,0,,1,0,0,4,0,0,4,,3,,3,2022-02-22,1,2022-02-22,2
K02,march_2022_arm_1,ento_form_1a_immediately_processed_summary,1,2022-03-21,,4,0,0,0,1,0,1,,0,0,0,0,0,0,0,,5,,3,2022-03-23,1,2022-03-23,2
K02,march_2022_arm_1,ento_form_1a_immediately_processed_summary,2,2022-03-14,,4,1,0,1,0,0,2,,,0,1,1,3,0,5,,9,,3,2022-03-23,1,2022-03-23,2
K02,march_2022_arm_1,ento_form_1a_immediately_processed_summary,3,2022-03-28,,4,0,0,0,0,0,0,,0,0,0,0,1,0,1,,5,,3,2022-03-30,1,2022-03-30,2
K02,april_2022_arm_1,ento_form_1a_immediately_processed_summary,1,2022-04-26,,10,0,0,0,0,0,0,,0,0,3,8,1,0,12,,1,,3,2022-04-26,1,2022-04-26,2
K02,april_2022_arm_1,ento_form_1a_immediately_processed_summary,2,2022-04-04,,10,0,0,0,0,0,0,,0,0,0,1,0,0,1,,1,,3,2022-04-26,1,2022-04-26,2
K02,may_2022_arm_1,ento_form_1a_immediately_processed_summary,1,2022-05-23,,9,0,0,0,0,0,0,,0,6,31,61,14,0,112,,42,,3,2022-05-30,1,2022-05-30,2
K02,may_2022_arm_1,ento_form_1a_immediately_processed_summary,2,2022-05-16,,9,0,0,0,0,0,0,,0,15,27,37,18,0,97,,69,,3,2022-05-30,1,2022-05-30,2
K02,june_2022_arm_1,ento_form_1a_immediately_processed_summary,1,2022-06-20,,6,0,0,0,0,0,0,,0,21,34,57,34,0,146,,117,,3,2022-06-30,1,2022-06-30,2
